code	Asplund2021	Amass	I1/D0	I2/rdmass	I3	I4	maxcharge
52	-9.86	127.6	9.0096	18.6	27.96	37.41	1
53	-10.49	126.904	10.4513	19.1313	33	42	1
54	-9.82	131.293	12.1298	20.975	32.123	46	1
55	-10.96	132.905	3.8939	23.15744	35	46	1
56	-9.77	137.327	5.2117	10.00383	35.84	49	1
57	-10.93	138.906	5.5769	11.059	19.1773	49.9532	1
58	-10.46	140.116	5.5387	10.849	20.1974	36.7576	1
59	-11.29	140.908	5.464	10.551	21.6237	38.98	1
60	-10.62	144.24	5.525	10.725	22.1436	40.4188	1
61	-20	145	5.5545	10.8982	22.3	41.1	1
62	-11.09	150.36	5.6436	11.072	23.4	41.4	1
63	-11.52	151.964	5.6704	11.241	24.9208	42.6506	1
64	-10.96	157.25	6.1498	12.088	20.631	44.0144	1
65	-11.73	158.925	5.8638	11.518	21.908	39.79	1
66	-10.94	162.5	5.9388	11.667	22.8	41.47	1
67	-11.56	164.93	6.0215	11.803	22.8379	42.5	1
68	-11.11	167.259	6.1077	11.927	22.7387	42.7	1
69	-11.93	168.934	6.1843	11.493	23.681	42.7	1
70	-11.19	173.04	6.2539	12.184	25.0535	43.56	1
71	-11.94	174.967	5.4258	13.8862	20.9594	45.25	1
72	-11.19	178.49	6.8251	15	23.3	33.33	1
73	-12.16	180.948	7.5496	16	22	33	1
74	-11.25	183.84	7.864	16.1	24	35	1
75	-11.78	186.207	7.8335	17	26	38	1
76	-10.69	190.23	8.4382	17	25	40	1
77	-10.66	192.217	8.967	17	27	39	1
78	-10.42	195.078	8.9588	18.563	28	41	1
79	-11.13	196.967	9.2255	20.2	30	44	1
80	-10.87	200.56	10.4375	18.7569	34.2	46	1
81	-11.12	204.383	6.1082	20.4283	29.83	50.7	1
82	-10.09	207.2	7.4167	15.03248	31.9373	42.32	1
83	-11.39	208.98	7.2855	16.703	25.56	45.3	1
84	-20	209	8.414	19	27	38	1
85	-20	210	9.3	20	29	41	1
86	-20	222	10.7485	21	29	44	1
87	-20	223	4.0727	22	33	43	1
88	-20	226	5.2784	10.14715	34	46	1
89	-20	227	5.17	11.75	20	49	1
90	-12.01	232.038	6.3067	11.9	20	28.8	1
91	-20	231.036	5.89	11	20	29	1
92	-12.58	238.029	6.1941	10.6	20	29	1
101	-7.5	2.016	4.4781	0.50407	1	0	0
106	-7.5	13.02	3.47	0.9299	0.8	0	0
107	-7.5	15.015	3.47	0.94028	1	0	0
108	-7.5	17.0073	4.392	0.9482	1	0	0
112	-7.5	25.3129	1.34	0.9678	1	0	0
113	-7.5	27.99	3.06	0.9717	1	0	0
114	-7.5	29.093	3.06	0.97302	0.3	0	0
120	-7.5	41.086	1.7	0.98321	1	0	0
606	-7.5	24.02	6.15	6.0055	1	0	0
607	-7.5	26.01	7.66	6.4627	1	0	0
608	-7.5	28.01	11.108	6.8604	1	0	0
813	-7.5	42.981	5.27	10.0436	1	0	0
814	-7.5	44.06	8.26	10.1897	1	0	0
822	-7.5	63.879	6.87	11.9921	1	0	0
840	-7.5	107.223	7.85	13.6118	1	0	0
